ID	NAME	A	R	S	M	E	P	I
0	people	false	false	false	false	false	false	false
1	history	false	false	false	false	false	false	false
2	way	false	false	false	false	false	false	false
3	art	false	false	false	false	false	false	false
4	world	false	false	false	false	false	false	false
5	information	false	false	false	false	false	false	false
6	map	false	false	false	false	false	false	false
7	two	false	false	false	false	false	false	false
8	family	false	false	false	false	false	false	false
9	government	false	false	false	false	false	false	false
10	health	false	false	false	false	false	false	false
11	system	false	false	false	false	false	false	false
12	computer	false	false	false	false	false	false	false
13	meat	false	false	false	false	false	false	false
14	year	false	false	false	false	false	false	false
15	thanks	false	false	false	false	false	false	false
16	music	false	false	false	false	false	false	false
17	person	false	false	false	false	false	false	false
18	reading	false	false	false	false	false	false	false
19	method	false	false	false	false	false	false	false
20	data	false	false	false	false	false	false	false
21	food	false	false	false	false	false	false	false
22	understanding	false	false	false	false	false	false	false
23	theory	false	false	false	false	false	false	false
24	law	false	false	false	false	false	false	false
25	bird	false	false	false	false	false	false	false
26	literature	false	false	false	false	false	false	false
27	problem	false	false	false	false	false	false	false
28	software	false	false	false	false	false	false	false
29	control	false	false	false	false	false	false	false
30	knowledge	false	false	false	false	false	false	false
31	power	false	false	false	false	false	false	false
32	ability	false	false	false	false	false	false	false
33	economics	false	false	false	false	false	false	false
34	love	false	false	false	false	false	false	false
35	internet	false	false	false	false	false	false	false
36	television	false	false	false	false	false	false	false
37	science	false	false	false	false	false	false	false
38	library	false	false	false	false	false	false	false
39	nature	false	false	false	false	false	false	false
40	fact	false	false	false	false	false	false	false
41	product	false	false	false	false	false	false	false
42	idea	false	false	false	false	false	false	false
43	temperature	false	false	false	false	false	false	false
44	investment	false	false	false	false	false	false	false
45	area	false	false	false	false	false	false	false
46	society	false	false	false	false	false	false	false
47	activity	false	false	false	false	false	false	false
48	story	false	false	false	false	false	false	false
49	industry	false	false	false	false	false	false	false
50	media	false	false	false	false	false	false	false
51	thing	false	false	false	false	false	false	false
52	oven	false	false	false	false	false	false	false
53	community	false	false	false	false	false	false	false
54	definition	false	false	false	false	false	false	false
55	safety	false	false	false	false	false	false	false
56	quality	false	false	false	false	false	false	false
57	development	false	false	false	false	false	false	false
58	language	false	false	false	false	false	false	false
59	management	false	false	false	false	false	false	false
60	player	false	false	false	false	false	false	false
61	variety	false	false	false	false	false	false	false
62	video	false	false	false	false	false	false	false
63	week	false	false	false	false	false	false	false
64	security	false	false	false	false	false	false	false
65	country	false	false	false	false	false	false	false
66	exam	false	false	false	false	false	false	false
67	movie	false	false	false	false	false	false	false
68	organization	false	false	false	false	false	false	false
69	equipment	false	false	false	false	false	false	false
70	physics	false	false	false	false	false	false	false
71	analysis	false	false	false	false	false	false	false
72	policy	false	false	false	false	false	false	false
73	series	false	false	false	false	false	false	false
74	thought	false	false	false	false	false	false	false
75	basis	false	false	false	false	false	false	false
76	boyfriend	false	false	false	false	false	false	false
77	direction	false	false	false	false	false	false	false
78	strategy	false	false	false	false	false	false	false
79	technology	false	false	false	false	false	false	false
80	army	false	false	false	false	false	false	false
81	camera	false	false	false	false	false	false	false
82	freedom	false	false	false	false	false	false	false
83	paper	false	false	false	false	false	false	false
84	environment	false	false	false	false	false	false	false
85	child	false	false	false	false	false	false	false
86	instance	false	false	false	false	false	false	false
87	month	false	false	false	false	false	false	false
88	truth	false	false	false	false	false	false	false
89	marketing	false	false	false	false	false	false	false
90	university	false	false	false	false	false	false	false
91	writing	false	false	false	false	false	false	false
92	article	false	false	false	false	false	false	false
93	department	false	false	false	false	false	false	true
94	difference	false	false	false	false	false	true	false
95	goal	false	false	false	false	true	false	false
96	news	false	false	true	false	false	false	false
97	audience	false	false	false	true	false	false	false
98	fishing	false	true	false	false	false	false	false
99	time	true	false	false	false	false	false	false
100	killer	false	false	false	false	false	false	false
